Gene	Cases.2500	Case.freq	Rare.Cont.1300	Rare.freq	X1KG	ESP	Cases.inframe	Case.freq.inframe	Cont.inframe	Cont.freq.inframe	Rare.cont.inframe	Rare.freq.inframe	Cases.rad	Case.freq.rad	Cont.rad	Cont.freq.rad	Rare.cont.rad	Rare.freq.rad	X1KG.rad	ESP.rad	Familion.2500	Literature
KCNQ1	340	0.136	14	0.0108	0.0018	0.0039	10	0.004	5	0.0038	5	0.0038	96	0.0384	0	0	0	0	0	0.0002	0.1784	0.421
KCNH2	210	0.084	27	0.0208	0.0064	0.0048	6	0.0024	10	0.0077	10	0.0077	98	0.0392	0	0	0	0	0	0	0.1256	0.388
SCN5A	134	0.0536	36	0.0277	0.0147	0.0112	5	0.002	0	0	0	0	7	0.0028	1	0.0008	1	0.0008	0.0009	0.0002	0.0584	0.09
ANK2	0	0	0	0	0.0366	0.0386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
KCNE1	26	0.0104	0	0	0	0.0014	0	0	0	0	0	0	5	0.002	0	0	0	0	0	0	0.0124	0.01
KCNE2	12	0.0048	0	0	0.0009	0.0011	0	0	0	0	0	0	1	0.0004	0	0	0	0	0	0.0002	0.0052	0.01
KCNJ2	0	0	0	0	0.0018	0.0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
CACNA1C	0	0	0	0	0.0092	0.0112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
CAV3	0	0	0	0	0.0027	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0.01
SCN4B	0	0	0	0	0.0018	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0.001
AKAP9	0	0	0	0	0.0540	0.0393	0	0	0	0	0	0	0	0	0	0	0	0	0.0009	0.0005	0	0.001
SNTA1	0	0	0	0	0.0064	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0.001
KCNJ5	0	0	0	0	0.0046	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001

